Loc,1,1.p,2,2.p,3,3.p,4,4.p,5,5.p,6,6p,7,7p,8,8p,9,9p,10,10p,11,11p,12,12p,13,13p,14,14p,15,15p,16,16p,17,17p,18,18p,19,19p,20,20p,21,21p,22,22p,23,23p,24,24p,25,25p,26,26p,27,27p,28,28p,29,29p,30,30p,31,31p,32,32p,33,33p,34,34p,35,35p,36,36p,37,37p,38,38p,39,39p,40,40p,41,41p,42,42p,43,43p,44,44p,45,45p,46,46p,47,47p,48,48p,49,49p,50,50p,51,51p,52,52p,53,53p,54,54p,55,55p,56,56p,57,57p,58,58p,59,59p,60,60p,61,61p,62,62p,63,63p,64,64p,65,65p,66,66p,67,67p,68,68p,69,69p,吾,wú,71,71p,72,72p,73,73p,74,74p,75,75p,76,76p,77,77p,78,78p,79,79p,80,80p,81,81p
28,以,yǐ,相,xiāng,是,shì,湛,zhàn,籥,yuè,,,身,shēn,淵,yuān,驕,jiāo,治,zhì,牖,yǒu,令人,lìng rén,謂,wèi,故,gù,川,chuān,靜,jìng,貴,guì,,,以,yǐ,其,qí,其中,qí zhōng,不,bù,況,kuàng,長,cháng,吾,wú,若,ruò,不可,bù kě,為,wéi,物,wù,之,zhī,貴,guì,以,yǐ,失,shī,主,zhǔ,無,wú,之,zhī,以,yǐ,為,wéi,得,dé,,,為,wéi,所,suǒ,之,zhī,不,bù,訥,nè,大,dà,知,zhī,常,cháng,吾,wú,何,hé,之,zhī,殆,dài,倉,cāng,於,yú,未知,wèi zhī,謂,wèi,諱,huì,伏,fú,克,kè,其,qí,下,xià,不,bù,天,tiān,合,hé,國,guó,民,mín,三,sān,爭,zhēng,執,zhí,不,bù,病,bìng,以,yǐ,以,yǐ,敢,gǎn,之,zhī,強,qiáng,之,zhī,之,zhī,無,wú,乘,chéng,積,jī
29,觀,guān,成,chéng,以,yǐ,兮,xī,虛,xū,,,而,ér,與,yǔ,自,zì,國,guó,以,yǐ,行,xíng,寵,chǒng,混,hùn,猶,yóu,曰,yuē,言,yán,,,為,wéi,未,wèi,有,yǒu,自,zì,於,yú,其,qí,不,bù,將,jiāng,解,jiě,天下,tiān xià,或,huò,後,hòu,右,yòu,降,jiàng,其,qí,常,cháng,味,wèi,必,bì,無,wú,之,zhī,一,yī,,,道,dào,惡,wù,教,jiào,辱,rǔ,躁,zào,於,yú,不,bù,以,yǐ,信,xìn,故,gù,貴,guì,塞,sè,甚,shèn,家,jiā,牝,pìn,玄,xuán,而,ér,孰,shú,無,wú,神,shén,小,xiǎo,善,shàn,下,xià,抱,bào,之,zhī,必,bì,寶,bǎo,之,zhī,無,wú,我,wǒ,,,聖,shèng,聖,shèng,常,cháng,輕,qīng,者,zhě,道,dào,勝,shèng,德,dé,之,zhī,既,jì
30,其,qí,長,cháng,聖,shèng,似,sì,而,ér,,,身,shēn,善,shàn,遺,yí,能,néng,為,wéi,妨,fáng,辱,rǔ,而,ér,兮,xī,復,fù,功,gōng,,,文,wén,央,yāng,精,jīng,見,jiàn,人,rén,在,zài,知,zhī,失,shī,是,shì,式,shì,行,xíng,必,bì,兵,bīng,甘,gān,所,suǒ,無,wú,視,shì,固,gù,名,míng,而,ér,以,yǐ,,,故,gù,唯,wéi,無,wú,知,zhī,勝,shèng,欲,yù,見,jiàn,無,wú,之,zhī,以,yǐ,夫,fū,其,qí,虛,xū,其,qí,牡,mǔ,同,tóng,民,mín,知,zhī,不,bù,不,bù,國,guó,何,hé,大,dà,之,zhī,賊,zéi,以,yǐ,持,chí,德,dé,兵,bīng,知,zhī,,,人,rén,人,rén,有,yǒu,死,sǐ,死,sǐ,損,sǔn,剛,gāng,司,sī,雖,suī,以,yǐ
31,妙,miào,短,duǎn,人,rén,或,huò,不,bù,,,先,xiān,仁,rén,咎,jiù,無,wú,室,shì,是,shì,若,ruò,為,wéi,若,ruò,復,fù,成,chéng,,,不足,bù zú,衆,zhòng,其,qí,故,gù,乎,hū,道,dào,其,qí,之,zhī,以,yǐ,為,wéi,或,huò,有,yǒu,者,zhě,露,lù,者,zhě,欲,yù,之,zhī,與,yǔ,之,zhī,有,yǒu,生,shēng,,,建,jiàn,孤,gū,為,wéi,止,zhǐ,寒,hán,得,dé,而,ér,事,shì,不,bù,其,qí,莫,mò,兌,duì,服,fú,德,dé,之,zhī,故,gù,彌,mí,其,qí,克,kè,傷,shāng,則,zé,棄,qì,事,shì,木,mù,不,bù,言,yán,而,ér,是,shì,扔,rēng,者,zhě,,,自,zì,猶,yóu,司,sī,以,yǐ,之,zhī,有,yǒu,天,tiān,徹,chè,有,yǒu,為,wéi
32,常,cháng,相,xiāng,之,zhī,存,cún,屈,qū,,,外,wài,言,yán,功,gōng,知,zhī,當,dāng,以,yǐ,驚,jīng,一,yī,畏,wèi,曰,yuē,事,shì,,,故,gù,人,rén,精,jīng,明,míng,故,gù,也,yě,名,míng,安,ān,聖,shèng,天下,tiān xià,隨,suí,凶,xiōng,不,bù,民,mín,久,jiǔ,可,kě,不足,bù zú,之,zhī,樸,pǔ,以,yǐ,侯,hóu,,,言,yán,寡,guǎ,之,zhī,不,bù,靜,jìng,故,gù,名,míng,及,jí,信,xìn,生,shēng,之,zhī,閉,bì,文,wén,乃,nǎi,合,hé,不可,bù kě,貧,pín,極,jí,則,zé,人,rén,取,qǔ,之,zhī,必,bì,生,shēng,以,yǐ,下,xià,保,bǎo,謂,wèi,無,wú,希,xī,,,知,zhī,難,nán,殺,shā,其,qí,徒,tú,餘,yú,下,xià,天,tiān,甲,jiǎ,人,rén
33,有,yǒu,形,xíng,治,zhì,吾,wú,動,dòng,,,其,qí,善,shàn,遂,suì,乎,hū,其,qí,聖,shèng,何,hé,其,qí,四,sì,命,mìng,遂,suì,,,令,lìng,熙,xī,甚,shèn,不,bù,從,cóng,曰,yuē,字,zì,君,jūn,人,rén,式,shì,或,huò,年,nián,祥,xiáng,莫,mò,死,sǐ,名,míng,見,jiàn,是,shì,夫,fū,為,wéi,王,wáng,,,有,yǒu,不,bù,益,yì,殆,dài,勝,shèng,知,zhī,不,bù,其,qí,者,zhě,生,shēng,命,mìng,其,qí,綵,cǎi,餘,yú,而,ér,得,dé,人,rén,其,qí,莫,mò,聖,shèng,小,xiǎo,故,gù,作,zuò,於,yú,智,zhì,之,zhī,之,zhī,用,yòng,敵,dí,貴,guì,,,不,bù,之,zhī,者,zhě,求,qiú,柔,róu,而,ér,莫,mò,道,dào,兵,bīng,己,jǐ
34,欲,yù,高,gāo,也,yě,不,bù,而,ér,,,身,shēn,信,xìn,身,shēn,天,tiān,無,wú,人,rén,謂,wèi,上,shàng,鄰,lín,知,zhī,百,bǎi,,,有所,yǒu suǒ,熙,xī,真,zhēn,自,zì,事,shì,餘,yú,之,zhī,之,zhī,常,cháng,常,cháng,歔,xū,善,shàn,之,zhī,之,zhī,而,ér,於,yú,聽,tīng,謂,wèi,亦,yì,上,shàng,得,dé,,,之,zhī,穀,gǔ,天下,tiān xià,可以,kě yǐ,熱,rè,足,zú,為,wéi,有,yǒu,吾,wú,之,zhī,常,cháng,門,mén,帶,dài,修,xiū,全,quán,而,ér,多,duō,無,wú,知,zhī,人,rén,國,guó,立,lì,於,yú,毫,háo,治,zhì,欲,yù,一,yī,人,rén,禍,huò,我,wǒ,,,自,zì,天,tiān,夫,fū,生,shēng,弱,ruò,補,bǔ,不,bù,無,wú,無,wú,愈,yù
35,以,yǐ,下,xià,虛,xū,知,zhī,愈,yù,,,而,ér,正,zhèng,退,tuì,門,mén,有,yǒu,為,wéi,貴,guì,不,bù,儼,yǎn,命,mìng,姓,xìng,,,屬,zhǔ,如,ruò,其中,qí zhōng,是,shì,於,yú,食,shí,曰,yuē,主,zhǔ,善,shàn,德,dé,或,huò,者,zhě,器,qì,令,lìng,不,bù,小,xiǎo,之,zhī,微,wēi,將,jiāng,仁,rén,一,yī,,,明,míng,而,ér,希,xī,長,cháng,清,qīng,之,zhī,而,ér,事,shì,亦,yì,厚,hòu,自,zì,終,zhōng,利,lì,之,zhī,作,zuò,親,qīn,利,lì,正,zhèng,其,qí,亦,yì,小,xiǎo,天,tiān,細,xì,末,mò,國,guó,先,xiān,曰,yuē,之,zhī,莫,mò,珍,zhēn,,,見,jiàn,之,zhī,代,dài,之,zhī,者,zhě,不,bù,知,zhī,親,qīn,所,suǒ,有,yǒu
36,觀,guān,相,xiāng,其,qí,誰,shuí,出,chū,,,身,shēn,善,shàn,天,tiān,開,kāi,室,shì,腹,fù,大,dà,皦,jiǎo,兮,xī,曰,yuē,皆,jiē,,,見,jiàn,享,xiǎng,有,yǒu,故,gù,道,dào,贅,zhuì,道,dào,自,zì,救,jiù,不,bù,吹,chuī,果,guǒ,非,fēi,而,ér,亡,wáng,萬,wàn,不足,bù zú,明,míng,知,zhī,為,wéi,以,yǐ,,,道,dào,王,wáng,及,jí,久,jiǔ,靜,jìng,足,zú,成,chéng,不足,bù zú,信,xìn,蓋,gài,然,rán,身,shēn,劍,jiàn,於,yú,精,jīng,不可,bù kě,器,qì,正,zhèng,極,jí,不,bù,國,guó,子,zǐ,是,shì,九,jiǔ,國,guó,民,mín,慈,cí,力,lì,大,dà,是,shì,,,自,zì,道,dào,司,sī,厚,hòu,生,shēng,足,zú,莫,mò,常,cháng,陳,chén,既,jì
37,其,qí,傾,qīng,心,xīn,之,zhī,多,duō,,,存,cún,治,zhì,之,zhī,闔,hé,之,zhī,不,bù,患,huàn,其,qí,其,qí,明,míng,謂,wèi,,,素,sù,太,tài,信,xìn,彰,zhāng,者,zhě,行,xíng,強,qiǎng,以,yǐ,人,rén,忒,tè,或,huò,而,ér,君,jūn,自,zì,者,zhě,物,wù,聞,wén,柔,róu,止,zhǐ,之,zhī,為,wéi,,,若,ruò,公,gōng,之,zhī,,,為,wéi,常,cháng,,,以,yǐ,之,zhī,聞,wén,故,gù,不,bù,厭,yàn,鄉,xiāng,之,zhī,得,dé,國,guó,復,fù,莫,mò,傷,shāng,以,yǐ,置,zhì,以,yǐ,層,céng,之,zhī,必,bì,二,èr,是,shì,於,yú,以,yǐ,,,愛,ài,不,bù,殺,shā,是,shì,之,zhī,人,rén,能,néng,與,yǔ,之,zhī,以,yǐ
38,徼,jiào,音,yīn,實,shí,子,zǐ,言,yán,,,非,fēi,事,shì,道,dào,能,néng,用,yòng,為,wéi,若,ruò,下,xià,若,ruò,不,bù,我,wǒ,,,抱,bào,牢,láo,自,zì,不,bù,同,tóng,物,wù,為,wéi,輕,qīng,故,gù,復,fù,強,qiáng,已,yǐ,子,zǐ,均,jūn,壽,shòu,歸,guī,用,yòng,弱,ruò,知,zhī,而,ér,天下,tiān xià,,,昧,mèi,以,yǐ,,,,,天,tiān,足,zú,,,取,qǔ,德,dé,善,shàn,道,dào,勤,qín,飲,yǐn,其,qí,至,zhì,而,ér,家,jiā,為,wéi,知,zhī,人,rén,下,xià,三,sān,聖,shèng,之,zhī,福,fú,以,yǐ,曰,yuē,謂,wèi,輕,qīng,聖,shèng,,,不,bù,爭,zhēng,者,zhě,以,yǐ,徒,tú,之,zhī,行,xíng,善,shàn,使,shǐ,與,yǔ
39,此,cǐ,聲,shēng,其,qí,象,xiàng,數,shù,,,以,yǐ,善,shàn,,,為,wéi,故,gù,目,mù,身,shēn,不,bù,客,kè,知,zhī,自然,zì rán,,,樸,pǔ,如,ruò,古,gǔ,自,zì,於,yú,或,huò,之,zhī,天下,tiān xià,無,wú,歸,guī,或,huò,不,bù,之,zhī,始,shǐ,,,焉,yān,之,zhī,勝,shèng,止,zhǐ,無,wú,貞,zhēn,,,進,jìn,為,wéi,,,,,下,xià,,,,,天,tiān,信,xìn,攝,shè,生,shēng,開,kāi,食,shí,德,dé,也,yě,疏,shū,滋,zī,奇,qí,其,qí,夫,fū,大,dà,公,gōng,人,rén,臺,tái,知,zhī,身,shēn,儉,jiǎn,配,pèi,敵,dí,人,rén,,,自,zì,而,ér,殺,shā,輕,qīng,是,shì,道,dào,是,shì,人,rén,民,mín,人,rén
40,兩,liǎng,相,xiāng,腹,fù,帝,dì,窮,qióng,,,其,qí,能,néng,,,雌,cí,有,yǒu,故,gù,吾,wú,昧,mèi,渙,huàn,命,mìng,,,,,少,shǎo,登,dēng,及,jí,伐,fá,道,dào,惡,wù,名,míng,輕,qīng,棄,qì,於,yú,羸,léi,敢,gǎn,器,qì,制,zhì,,,而,ér,不足,bù zú,剛,gāng,可以,kě yǐ,以,yǐ,其,qí,,,道,dào,稱,chēng,,,,,正,zhèng,,,,,下,xià,聖,shèng,生,shēng,之,zhī,其,qí,財,cái,乃,nǎi,終,zhōng,不可,bù kě,昏,hūn,善,shàn,極,jí,兩,liǎng,國,guó,雖,suī,終,zhōng,起,qǐ,此,cǐ,後,hòu,三,sān,天,tiān,輕,qīng,被,pī,,,貴,guì,善,shàn,是,shì,死,sǐ,以,yǐ,則,zé,以,yǐ,,,復,fù,己,jǐ
41,者,zhě,和,hé,弱,ruò,之,zhī,不,bù,,,無,wú,動,dòng,,,乎,hū,之,zhī,去,qù,所以,suǒ yǐ,繩,shéng,兮,xī,妄,wàng,,,,,私,sī,春,chūn,今,jīn,故,gù,德,dé,之,zhī,曰,yuē,則,zé,人,rén,無,wú,或,huò,以,yǐ,不得,bù dé,有,yǒu,,,不,bù,既,jì,魚,yú,不,bù,為,wéi,致,zhì,,,若,ruò,故,gù,,,,,,,,,,,,,人,rén,者,zhě,德,dé,兌,duì,貨,huò,長,cháng,日,rì,得,dé,人,rén,復,fù,可以,kě yǐ,不,bù,則,zé,有,yǒu,不,bù,於,yú,兩,liǎng,之,zhī,曰,yuē,古,gǔ,敵,dí,褐,hè,,,故,gù,勝,shèng,謂,wèi,夫,fū,兵,bīng,不,bù,聖,shèng,,,結,jié,愈,yù
42,同,tóng,前,qián,其,qí,先,xiān,如,rú,,,私,sī,善,shàn,,,明,míng,以,yǐ,彼,bǐ,有,yǒu,繩,shéng,若,ruò,作,zuò,,,,,寡,guǎ,臺,tái,其,qí,有,yǒu,者,zhě,故,gù,大,dà,失,shī,常,cháng,極,jí,載,zài,取,qǔ,已,yǐ,名,míng,,,為,wéi,,,不可,bù kě,殆,dài,上,shàng,之,zhī,,,退,tuì,物,wù,,,,,,,,,,,,,在,zài,陸,lù,畜,chù,濟,jì,有,yǒu,修,xiū,號,hào,而,ér,多,duō,為,wéi,有,yǒu,相,xiāng,取,qǔ,拱,gǒng,為,wéi,累,lěi,者,zhě,是,shì,不,bù,之,zhī,幾,jī,懷,huái,,,去,qù,不,bù,代,dài,唯,wéi,強,qiáng,然,rán,人,rén,,,繩,shéng,多,duō
43,出,chū,後,hòu,志,zhì,,,守,shǒu,,,邪,yé,時,shí,,,白,bái,為,wéi,取,qǔ,大,dà,不可,bù kě,冰,bīng,知,zhī,,,,,欲,yù,我,wǒ,名,míng,功,gōng,同,tóng,有,yǒu,大,dà,臣,chén,善,shàn,知,zhī,或,huò,強,qiáng,而,ér,名,míng,,,主,zhǔ,,,脫,tuō,譬,pì,義,yì,也,yě,,,夷,yí,或,huò,,,,,,,,,,,,,天,tiān,行,xíng,之,zhī,其,qí,餘,yú,之,zhī,而,ér,利,lì,知,zhī,妖,yāo,國,guó,傷,shāng,大,dà,璧,bì,大,dà,土,tǔ,亦,yì,以,yǐ,敢,gǎn,極,jí,喪,sàng,玉,yù,,,彼,bǐ,言,yán,大,dà,無,wú,則,zé,損,sǔn,云,yún,,,而,ér,天,tiān
44,而,ér,相,xiāng,強,qiáng,,,中,zhōng,,,故,gù,夫,fū,,,四,sì,利,lì,此,cǐ,患,huàn,名,míng,之,zhī,命,mìng,,,,,,,獨,dú,不,bù,不,bù,於,yú,道,dào,曰,yuē,躁,zào,救,jiù,其,qí,隳,huī,果,guǒ,用,yòng,亦,yì,,,可,kě,,,於,yú,道,dào,為,wéi,天,tiān,,,道,dào,損,sǔn,,,,,,,,,,,,,下,xià,不,bù,長,zhǎng,事,shì,是,shì,於,yú,不,bù,不可,bù kě,巧,qiǎo,人,rén,有,yǒu,故,gù,國,guó,以,yǐ,故,gù,千,qiān,稽,qǐ,聖,shèng,為,wéi,,,吾,wú,,,,,取,qǔ,而,ér,匠,jiàng,以,yǐ,不,bù,不,bù,受,shòu,,,用,yòng,之,zhī
45,異,yì,隨,suí,其,qí,,,,,,,能,néng,唯,wéi,,,達,dá,無,wú,,,者,zhě,復,fù,將,jiāng,不,bù,,,,,,,泊,bó,去,qù,自,zì,德,dé,者,zhě,逝,shì,則,zé,物,wù,榮,róng,是,shì,而,ér,之,zhī,既,jì,,,名,míng,,,淵,yuān,之,zhī,之,zhī,無,wú,,,若,ruò,之,zhī,,,,,,,,,,,,,歙,xī,遇,yù,之,zhī,終,zhōng,謂,wèi,國,guó,嗄,shà,得,dé,奇,qí,之,zhī,國,guó,德,dé,故,gù,先,xiān,能,néng,里,lǐ,式,shì,人,rén,天,tiān,,,寶,bǎo,,,,,此,cǐ,善,shàn,斲,zhuó,生,shēng,勝,shèng,足,zú,國,guó,,,之,zhī,道,dào
46,名,míng,是,shì,骨,gǔ,,,,,,,成,chéng,不,bù,,,能,néng,之,zhī,,,為,wèi,歸,guī,釋,shì,殆,dài,,,,,,,兮,xī,以,yǐ,矜,jīn,失,shī,不,bù,逝,shì,失,shī,故,gù,守,shǒu,以,yǐ,勿,wù,恬,tián,有,yǒu,,,於,yú,,,國,guó,在,zài,而,ér,以,yǐ,,,纇,lèi,而,ér,,,,,,,,,,,,,歙,xī,兕,sì,育,yù,身,shēn,盜,dào,其,qí,和,hé,而,ér,物,wù,迷,mí,之,zhī,交,jiāo,或,huò,駟,sì,成,chéng,之,zhī,常,cháng,處,chǔ,下,xià,,,故,gù,,,,,,,應,yìng,夫,fū,為,wéi,木,mù,以,yǐ,之,zhī,,,甘,gān,利,lì
47,同,tóng,以,yǐ,常,cháng,,,,,,,其,qí,爭,zhēng,,,無,wú,以,yǐ,,,吾,wú,於,yú,敦,dūn,知,zhī,,,,,,,未,wèi,閱,yuè,故,gù,者,zhě,處,chǔ,曰,yuē,君,jūn,無,wú,其,qí,聖,shèng,矜,jīn,淡,dàn,夫,fū,,,大,dà,,,之,zhī,天,tiān,有,yǒu,清,qīng,,,上,shàng,益,yì,,,,,,,,,,,,,焉,yān,虎,hǔ,之,zhī,不,bù,夸,kuā,德,dé,之,zhī,害,hài,滋,zī,其,qí,母,mǔ,歸,guī,下,xià,馬,mǎ,其,qí,行,xíng,知,zhī,上,shàng,先,xiān,,,抗,kàng,,,,,,,不,bù,代,dài,者,zhě,強,qiáng,奉,fèng,垢,gòu,,,其,qí,而,ér
48,謂,wèi,聖,shèng,使,shǐ,,,,,,,私,sī,故,gù,,,知,zhī,為,wéi,,,有,yǒu,無,wú,兮,xī,常,cháng,,,,,,,兆,zhào,眾,zhòng,長,cháng,同,tóng,,,遠,yuǎn,,,棄,qì,辱,rǔ,人,rén,果,guǒ,為,wéi,亦,yì,,,是,shì,,,利,lì,下,xià,以,yǐ,將,jiāng,,,德,dé,或,huò,,,,,,,,,,,,,為,wéi,入,rù,亭,tíng,救,jiù,非,fēi,乃,nǎi,至,zhì,不可,bù kě,起,qǐ,日,rì,可以,kě yǐ,焉,yān,以,yǐ,不,bù,大,dà,始,shǐ,稽,qǐ,而,ér,慈,cí,,,兵,bīng,,,,,,,召,zhào,大,dà,是,shì,則,zé,有,yǒu,是,shì,,,食,shí,不,bù
49,之,zhī,人,rén,民,mín,,,,,,,,,無,wú,,,乎,hū,用,yòng,,,身,shēn,物,wù,其,qí,容,róng,,,,,,,若,ruò,甫,fǔ,夫,fū,於,yú,,,遠,yuǎn,,,物,wù,為,wéi,去,qù,而,ér,上,shàng,將,jiāng,,,以,yǐ,,,器,qì,猶,yóu,為,wéi,恐,kǒng,,,若,ruò,益,yì,,,,,,,,,,,,,天,tiān,軍,jūn,之,zhī,見,jiàn,道,dào,豐,fēng,也,yě,得,dé,法,fǎ,固,gù,長,cháng,,,取,qǔ,如,rú,夫,fū,於,yú,式,shì,民,mín,故,gù,,,相,xiāng,,,,,,,而,ér,匠,jiàng,賢,xián,共,gòng,餘,yú,謂,wèi,,,美,měi,害,hài
50,玄,xuán,處,chǔ,無,wú,,,,,,,,,尤,yóu,,,生,shēng,,,,,及,jí,是,shì,若,ruò,容,róng,,,,,,,嬰,yīng,吾,wú,唯,wéi,失,shī,,,曰,yuē,,,是,shì,天下,tiān xià,甚,shèn,勿,wù,勝,shèng,知,zhī,,,聖,shèng,,,不,bù,川,chuān,上,shàng,裂,liè,,,谷,gǔ,之,zhī,,,,,,,,,,,,,下,xià,不,bù,毒,dú,小,xiǎo,也,yě,修,xiū,知,zhī,而,ér,令,lìng,久,jiǔ,久,jiǔ,,,或,huò,坐,zuò,輕,qīng,足,zú,是,shì,不,bù,能,néng,,,加,jiā,,,,,,,自,zì,斲,zhuó,於,yú,折,zhé,孰,shú,社,shè,,,其,qí,聖,shèng
51,玄,xuán,無,wú,知,zhī,,,,,,,,,,,,,之,zhī,,,,,吾,wú,謂,wèi,樸,pǔ,乃,nǎi,,,,,,,兒,ér,何,hé,不,bù,同,tóng,,,反,fǎn,,,謂,wèi,谷,gǔ,去,qù,伐,fá,而,ér,止,zhǐ,,,人,rén,,,可以,kě yǐ,谷,gǔ,禮,lǐ,地,dì,,,大,dà,而,ér,,,,,,,,,,,,,渾,hún,被,pī,之,zhī,曰,yuē,,,之,zhī,和,hé,貴,guì,滋,zī,是,shì,是,shì,,,下,xià,進,jìn,諾,nuò,下,xià,謂,wèi,重,zhòng,勇,yǒng,,,哀,āi,,,,,,,來,lái,者,zhě,貴,guì,,,能,néng,稷,jì,,,服,fú,人,rén
52,之,zhī,為,wéi,無,wú,,,,,,,,,,,,,畜,xù,,,,,無,wú,無,wú,曠,kuàng,公,gōng,,,,,,,之,zhī,以,yǐ,爭,zhēng,於,yú,,,故,gù,,,襲,xí,為,wéi,奢,shē,果,guǒ,不,bù,知,zhī,,,終,zhōng,,,示,shì,之,zhī,為,wéi,無,wú,,,白,bái,損,sǔn,,,,,,,,,,,,,其,qí,甲,jiǎ,養,yǎng,明,míng,,,於,yú,曰,yuē,不可,bù kě,彰,zhāng,以,yǐ,謂,wèi,,,而,ér,此,cǐ,必,bì,為,wéi,玄,xuán,處,chǔ,儉,jiǎn,,,者,zhě,,,,,,,繟,chǎn,希,xī,生,shēng,,,有,yǒu,主,zhǔ,,,安,ān,之,zhī
53,又,yòu,之,zhī,欲,yù,,,,,,,,,,,,,之,zhī,,,,,身,shēn,狀,zhuàng,兮,xī,公,gōng,,,,,,,未,wèi,知,zhī,故,gù,道,dào,,,道,dào,,,明,míng,天下,tiān xià,去,qù,而,ér,美,měi,止,zhǐ,,,不,bù,,,人,rén,與,yǔ,之,zhī,以,yǐ,,,若,ruò,人,rén,,,,,,,,,,,,,心,xīn,兵,bīng,之,zhī,守,shǒu,,,天,tiān,常,cháng,得,dé,盜,dào,聖,shèng,深,shēn,,,取,qǔ,道,dào,寡,guǎ,者,zhě,德,dé,前,qián,故,gù,,,勝,shèng,,,,,,,然而,rán ér,有,yǒu,,,,,餘,yú,受,shòu,,,其,qí,道,dào
54,玄,xuán,事,shì,使,shǐ,,,,,,,,,,,,,生,shēng,,,,,吾,wú,之,zhī,其,qí,乃,nǎi,,,,,,,孩,hái,眾,zhòng,天下,tiān xià,者,zhě,,,大,dà,,,故,gù,谷,gǔ,泰,tài,勿,wù,而,ér,所以,suǒ yǐ,,,為,wéi,,,,,江,jiāng,而,ér,寧,níng,,,辱,rǔ,之,zhī,,,,,,,,,,,,,百,bǎi,兕,sì,覆,fù,柔,róu,,,下,xià,知,zhī,而,ér,賊,zéi,人,rén,根,gēn,,,大,dà,古,gǔ,信,xìn,敗,bài,玄,xuán,而,ér,能,néng,,,,,,,,,,,善,shàn,不,bù,,,,,以,yǐ,國,guó,,,居,jū,為,wéi
55,眾,zhòng,行,xíng,夫,fū,,,,,,,,,,,,,而,ér,,,,,有,yǒu,狀,zhuàng,若,ruò,王,wáng,,,,,,,儽,léi,甫,fǔ,莫,mò,道,dào,,,天,tiān,,,善,shàn,常,cháng,,,驕,jiāo,美,měi,不,bù,,,大,dà,,,,,海,hǎi,莫,mò,將,jiāng,,,廣,guǎng,所,suǒ,,,,,,,,,,,,,姓,xìng,無,wú,之,zhī,曰,yuē,,,其,qí,常,cháng,賤,jiàn,多,duō,方,fāng,固,gù,,,國,guó,之,zhī,多,duō,之,zhī,德,dé,民,mín,廣,guǎng,,,,,,,,,,,謀,móu,傷,shāng,,,,,奉,fèng,之,zhī,,,樂,lè,而,ér
56,妙,miào,不,bù,智,zhì,,,,,,,,,,,,,不,bù,,,,,何,hé,無,wú,谷,gǔ,王,wáng,,,,,,,儽,léi,之,zhī,能,néng,亦,yì,,,大,dà,,,人,rén,德,dé,,,果,guǒ,之,zhī,殆,dài,,,故,gù,,,,,,,之,zhī,恐,kǒng,,,德,dé,教,jiào,,,,,,,,,,,,,皆,jiē,所,suǒ,生,shēng,強,qiáng,,,德,dé,曰,yuē,故,gù,故,gù,而,ér,柢,dǐ,,,不,bù,所以,suǒ yǐ,易,yì,執,zhí,深,shēn,不,bù,不,bù,,,,,,,,,,,天,tiān,其,qí,,,,,天,tiān,不,bù,,,其,qí,不,bù
57,之,zhī,言,yán,者,zhě,,,,,,,,,,,,,有,yǒu,,,,,患,huàn,物,wù,混,hùn,乃,nǎi,,,,,,,兮,xī,然,rán,與,yǔ,樂,lè,,,地,dì,,,者,zhě,乃,nǎi,,,而,ér,者,zhě,譬,pì,,,能,néng,,,,,,,應,yìng,發,fā,,,若,ruò,我,wǒ,,,,,,,,,,,,,注,zhù,投,tóu,而,ér,用,yòng,,,乃,nǎi,明,míng,為,wéi,聖,shèng,不,bù,長,cháng,,,過,guò,貴,guì,必,bì,者,zhě,矣,yǐ,害,hài,敢,gǎn,,,,,,,,,,,網,wǎng,手,shǒu,,,,,下,xià,祥,xiáng,,,俗,sú,爭,zhēng
58,門,mén,之,zhī,不,bù,,,,,,,,,,,,,為,wéi,,,,,故,gù,之,zhī,兮,xī,天,tiān,,,,,,,若,ruò,哉,zāi,之,zhī,得,dé,,,大,dà,,,不,bù,足,zú,,,不得,bù dé,是,shì,道,dào,,,成,chéng,,,,,,,則,zé,神,shén,,,不足,bù zú,亦,yì,,,,,,,,,,,,,其,qí,虎,hǔ,不,bù,其,qí,,,普,pǔ,益,yì,天,tiān,人,rén,割,gē,生,shēng,,,欲,yù,此,cǐ,多,duō,失,shī,遠,yuǎn,是,shì,為,wéi,,,,,,,,,,,恢,huī,矣,yǐ,,,,,唯,wéi,是,shì,,,鄰,lín,,
59,門,mén,教,jiào,敢,gǎn,,,,,,,,,,,,,而,ér,,,,,貴,guì,象,xiàng,其,qí,天,tiān,,,,,,,無,wú,以,yǐ,爭,zhēng,之,zhī,,,王,wáng,,,善,shàn,復,fù,,,已,yǐ,樂,lè,之,zhī,,,其,qí,,,,,,,攘,rǎng,無,wú,,,建,jiàn,教,jiào,,,,,,,,,,,,,耳,ěr,無,wú,有,yǒu,光,guāng,,,故,gù,生,shēng,下,xià,云,yún,廉,lián,久,jiǔ,,,兼,jiān,道,dào,難,nán,之,zhī,矣,yǐ,以,yǐ,天,tiān,,,,,,,,,,,恢,huī,,,,,,,有,yǒu,為,wéi,,,國,guó,,
